"C_CND_000001","Ford","Expedition","Double Overhead Camshaft","Auto","Black","SUV","Buddy Storbeck's Diesel Service Inc"
"C_CND_000002","Dodge","Durango","Double Overhead Camshaft","Auto","Black","SUV","C & M Motors Inc"
"C_CND_000003","Cadillac","Eldorado","Overhead Camshaft","Manual","Red","Passenger","Capitol KIA"
"C_CND_000004","Toyota","Celica","Overhead Camshaft","Manual","Pale White","SUV","Chrysler of Tri-Cities"
"C_CND_000005","Acura","TL","Double Overhead Camshaft","Auto","Red","Hatchback","Chrysler Plymouth"
"C_CND_000006","Mitsubishi","Diamante","Overhead Camshaft","Manual","Pale White","Hatchback","Classic Chevy"
"C_CND_000007","Toyota","Corolla","Overhead Camshaft","Manual","Pale White","Passenger","Clay Johnson Auto Sales"
"C_CND_000008","Mitsubishi","Galant","Double Overhead Camshaft","Auto","Pale White","Passenger","U-Haul CO"
"C_CND_000009","Chevrolet","Malibu","Overhead Camshaft","Manual","Pale White","Hardtop","Rabun Used Car Sales"
"C_CND_000010","Ford","Escort","Double Overhead Camshaft","Auto","Pale White","Passenger","Rabun Used Car Sales"
"C_CND_000011","Acura","RL","Overhead Camshaft","Manual","Pale White","SUV","Race Car Help"
"C_CND_000012","Nissan","Pathfinder","Double Overhead Camshaft","Auto","Pale White","Hardtop","Race Car Help"
"C_CND_000013","Mercury","Grand Marquis","Double Overhead Camshaft","Auto","Black","SUV","Saab-Belle Dodge"
"C_CND_000014","BMW","323i","Double Overhead Camshaft","Auto","Pale White","Hatchback","Scrivener Performance Engineering"
"C_CND_000015","Chrysler","Sebring Coupe","Overhead Camshaft","Manual","Pale White","Sedan","Buddy Storbeck's Diesel Service Inc"
"C_CND_000016","Subaru","Forester","Overhead Camshaft","Manual","Pale White","Hatchback","C & M Motors Inc"
"C_CND_000017","Hyundai","Accent","Overhead Camshaft","Manual","Black","Hatchback","Capitol KIA"
"C_CND_000018","Cadillac","Eldorado","Double Overhead Camshaft","Auto","Pale White","Passenger","Chrysler of Tri-Cities"
"C_CND_000019","Toyota","Land Cruiser","Double Overhead Camshaft","Auto","Pale White","SUV","Chrysler Plymouth"
"C_CND_000020","Honda","Accord","Double Overhead Camshaft","Auto","Pale White","Sedan","Classic Chevy"
"C_CND_000021","Toyota","4Runner","Overhead Camshaft","Manual","Black","Sedan","Clay Johnson Auto Sales"
"C_CND_000022","Infiniti","I30","Double Overhead Camshaft","Auto","Black","Hardtop","Classic Chevy"
"C_CND_000023","Audi","A4","Overhead Camshaft","Manual","Pale White","Hardtop","Diehl Motor CO Inc"
"C_CND_000024","Porsche","Carrera Cabrio","Double Overhead Camshaft","Auto","Pale White","Passenger","Star Enterprises Inc"
"C_CND_000025","Volkswagen","Jetta","Double Overhead Camshaft","Auto","Pale White","Passenger","Suburban Ford"
"C_CND_000026","Dodge","Viper","Double Overhead Camshaft","Auto","Pale White","SUV","Tri-State Mack Inc"
"C_CND_000027","Buick","Regal","Double Overhead Camshaft","Auto","Black","Passenger","U-Haul CO"
"C_CND_000028","Chrysler","LHS","Overhead Camshaft","Manual","Pale White","Hatchback","Progressive Shippers Cooperative Association No"
"C_CND_000029","Chrysler","LHS","Overhead Camshaft","Manual","Pale White","Hatchback","Race Car Help"
"C_CND_000030","Saturn","LW","Overhead Camshaft","Manual","Pale White","Hatchback","Ryder Truck Rental and Leasing"
"C_CND_000031","Mitsubishi","3000GT","Overhead Camshaft","Manual","Pale White","Sedan","Saab-Belle Dodge"
"C_CND_000032","Mercedes-B","SLK230","Overhead Camshaft","Manual","Pale White","Hatchback","Scrivener Performance Engineering"
"C_CND_000033","Honda","Accord","Double Overhead Camshaft","Auto","Pale White","Sedan","Star Enterprises Inc"
"C_CND_000034","Honda","Civic","Overhead Camshaft","Manual","Black","Hatchback","Tri-State Mack Inc"
"C_CND_000035","Jaguar","S-Type","Double Overhead Camshaft","Auto","Black","Passenger","U-Haul CO"
"C_CND_000036","Volvo","S40","Double Overhead Camshaft","Auto","Pale White","Sedan","Diehl Motor CO Inc"
"C_CND_000037","Mercury","Mountaineer","Double Overhead Camshaft","Auto","Pale White","SUV","Enterprise Rent A Car"
"C_CND_000038","Buick","Park Avenue","Double Overhead Camshaft","Auto","Black","Hatchback","Gartner Buick Hyundai Saab"
"C_CND_000039","Mitsubishi","Montero Sport","Double Overhead Camshaft","Auto","Pale White","SUV","Hatfield Volkswagen"
"C_CND_000040","Nissan","Sentra","Double Overhead Camshaft","Auto","Black","Passenger","Star Enterprises Inc"
"C_CND_000041","Chrysler","Sebring Coupe","Overhead Camshaft","Manual","Pale White","Sedan","Suburban Ford"
"C_CND_000042","Volvo","S80","Overhead Camshaft","Manual","Pale White","Sedan","Tri-State Mack Inc"
"C_CND_000043","Chevrolet","Lumina","Overhead Camshaft","Manual","Black","Passenger","U-Haul CO"
"C_CND_000044","Mitsubishi","Montero Sport","Double Overhead Camshaft","Auto","Black","Hatchback","Diehl Motor CO Inc"
"C_CND_000045","Pontiac","Bonneville","Overhead Camshaft","Manual","Black","Hatchback","Enterprise Rent A Car"
"C_CND_000046","Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","Gartner Buick Hyundai Saab"
"C_CND_000047","BMW","323i","Overhead Camshaft","Manual","Pale White","Hatchback","Hatfield Volkswagen"
"C_CND_000048","Acura","TL","Double Overhead Camshaft","Auto","Pale White","Hatchback","Rabun Used Car Sales"
"C_CND_000049","Nissan","Altima","Double Overhead Camshaft","Auto","Pale White","Hatchback","Race Car Help"
"C_CND_000050","Cadillac","DeVille","Double Overhead Camshaft","Auto","Pale White","SUV","Ryder Truck Rental and Leasing"
"C_CND_000051","Dodge","Stratus","Double Overhead Camshaft","Auto","Pale White","Hatchback","Saab-Belle Dodge"
"C_CND_000052","Audi","A4","Double Overhead Camshaft","Auto","Black","Hardtop","Progressive Shippers Cooperative Association No"
"C_CND_000053","Mercury","Cougar","Double Overhead Camshaft","Auto","Black","Hatchback","C & M Motors Inc"
"C_CND_000054","Chevrolet","Malibu","Overhead Camshaft","Manual","Pale White","Hardtop","Scrivener Performance Engineering"
"C_CND_000055","Acura","RL","Overhead Camshaft","Manual","Pale White","SUV","Chrysler of Tri-Cities"
"C_CND_000056","Saturn","SW","Double Overhead Camshaft","Auto","Pale White","Passenger","Iceberg Rentals"
"C_CND_000057","Volvo","C70","Overhead Camshaft","Manual","Black","Hatchback","McKinney Dodge Chrysler Jeep"
"C_CND_000058","Mercury","Mountaineer","Overhead Camshaft","Manual","Pale White","SUV","Motor Vehicle Branch Office"
"C_CND_000059","Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","Buddy Storbeck's Diesel Service Inc"
"C_CND_000060","Mercedes-B","SLK","Overhead Camshaft","Manual","Pale White","Passenger","C & M Motors Inc"
"C_CND_000061","Toyota","Tacoma","Overhead Camshaft","Manual","Black","Hardtop","Ryder Truck Rental and Leasing"
"C_CND_000062","Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","Iceberg Rentals"
"C_CND_000063","Mercedes-B","M-Class","Overhead Camshaft","Manual","Pale White","Hatchback","McKinney Dodge Chrysler Jeep"
"C_CND_000064","Audi","A6","Double Overhead Camshaft","Auto","Black","SUV","Nebo Chevrolet"
"C_CND_000065","Dodge","Intrepid","Double Overhead Camshaft","Auto","Pale White","Sedan","Scrivener Performance Engineering"
"C_CND_000066","Buick","Park Avenue","Double Overhead Camshaft","Auto","Black","Hatchback","Star Enterprises Inc"
"C_CND_000067","Dodge","Viper","Overhead Camshaft","Manual","Black","SUV","Suburban Ford"
"C_CND_000068","Toyota","Sienna","Overhead Camshaft","Manual","Black","Passenger","Chrysler Plymouth"
"C_CND_000069","Volvo","S40","Double Overhead Camshaft","Auto","Pale White","Sedan","Classic Chevy"
"C_CND_000070","Mitsubishi","Diamante","Double Overhead Camshaft","Auto","Pale White","Hatchback","Clay Johnson Auto Sales"
"C_CND_000071","Cadillac","DeVille","Double Overhead Camshaft","Auto","Pale White","SUV","Nebo Chevrolet"
"C_CND_000072","Jaguar","S-Type","Overhead Camshaft","Manual","Pale White","Passenger","New Castle Ford Lincoln Mercury"
"C_CND_000073","Mitsubishi","Eclipse","Overhead Camshaft","Manual","Black","SUV","Pars Auto Sales"
"C_CND_000074","Ford","Contour","Double Overhead Camshaft","Auto","Pale White","Sedan","Pitre Buick-Pontiac-Gmc of Scottsdale"
"C_CND_000075","Volkswagen","Jetta","Double Overhead Camshaft","Auto","Black","Passenger","Progressive Shippers Cooperative Association No"
"C_CND_000076","Mitsubishi","Montero Sport","Double Overhead Camshaft","Auto","Black","SUV","Rabun Used Car Sales"
"C_CND_000077","Lincoln","Town car","Overhead Camshaft","Manual","Black","Hatchback","Chrysler of Tri-Cities"
"C_CND_000078","Ford","Focus","Overhead Camshaft","Manual","Black","Hardtop","Motor Vehicle Branch Office"
"C_CND_000079","Audi","A6","Overhead Camshaft","Manual","Black","SUV","Classic Chevy"
"C_CND_000080","Acura","TL","Double Overhead Camshaft","Auto","Black","Hatchback","Clay Johnson Auto Sales"
"C_CND_000081","Nissan","Pathfinder","Double Overhead Camshaft","Auto","Pale White","Hardtop","Tri-State Mack Inc"
"C_CND_000082","Ford","Mustang","Overhead Camshaft","Manual","Pale White","Hatchback","Enterprise Rent A Car"
"C_CND_000083","Oldsmobile","Cutlass","Double Overhead Camshaft","Auto","Pale White","Sedan","New Castle Ford Lincoln Mercury"
"C_CND_000084","Chevrolet","Corvette","Double Overhead Camshaft","Auto","Pale White","SUV","Pars Auto Sales"
"C_CND_000085","Chevrolet","Impala","Overhead Camshaft","Manual","Pale White","Hatchback","Pitre Buick-Pontiac-Gmc of Scottsdale"
"C_CND_000086","Volkswagen","Cabrio","Overhead Camshaft","Manual","Pale White","Sedan","Progressive Shippers Cooperative Association No"
"C_CND_000087","Dodge","Dakota","Overhead Camshaft","Manual","Pale White","Sedan","Rabun Used Car Sales"
"C_CND_000088","Chrysler","300M","Double Overhead Camshaft","Auto","Black","SUV","Race Car Help"
"C_CND_000089","BMW","328i","Double Overhead Camshaft","Auto","Black","Sedan","Tri-State Mack Inc"
"C_CND_000090","Oldsmobile","Bravada","Double Overhead Camshaft","Auto","Pale White","Hatchback","U-Haul CO"
"C_CND_000091","Nissan","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","Buddy Storbeck's Diesel Service Inc"
"C_CND_000092","Dodge","Ram Pickup","Overhead Camshaft","Manual","Pale White","Hardtop","Race Car Help"
"C_CND_000093","Chrysler","Concorde","Double Overhead Camshaft","Auto","Pale White","Hardtop","Saab-Belle Dodge"
"C_CND_000094","Chrysler","300M","Double Overhead Camshaft","Auto","Pale White","SUV","Chrysler of Tri-Cities"
"C_CND_000095","Volvo","V70","Double Overhead Camshaft","Auto","Black","Passenger","Diehl Motor CO Inc"
