Car_id,Company,Model,Engine,Transmission,Color,Body_Style,Dealer_Name
C_CND_023907,Plymouth,Prowler,Double Overhead Camshaft,Auto,Pale White,Hatchback,Tri-State Mack Inc
C_CND_023908,Buick,LeSabre,Overhead Camshaft,Manual,Black,Sedan,Nebo Chevrolet
C_CND_023909,BMW,528i,Overhead Camshaft,Manual,Pale White,SUV,C & M Motors Inc
C_CND_023910,Lincoln,Town car,Double Overhead Camshaft,Auto,Black,Hatchback,Race Car Help
C_CND_023911,Cadillac,Catera,Double Overhead Camshaft,Auto,Pale White,Hatchback,Tri-State Mack Inc
C_CND_023912,Nissan,Xterra,Double Overhead Camshaft,Auto,Black,Passenger,Race Car Help
C_CND_023913,Volvo,C70,Overhead Camshaft,Manual,Black,Hatchback,Chrysler Plymouth
C_CND_023914,Subaru,Forester,Double Overhead Camshaft,Auto,Black,Hardtop,Star Enterprises Inc
C_CND_023915,Ford,Taurus,Overhead Camshaft,Manual,Pale White,SUV,Nebo Chevrolet
C_CND_023916,Toyota,Celica,Double Overhead Camshaft,Auto,Pale White,SUV,Hatfield Volkswagen
C_CND_023917,Lexus,LS400,Overhead Camshaft,Manual,Black,Sedan,Tri-State Mack Inc
C_CND_023918,Audi,A6,Double Overhead Camshaft,Auto,Black,SUV,Nebo Chevrolet
C_CND_023919,Nissan,Pathfinder,Overhead Camshaft,Manual,Black,Hardtop,Hatfield Volkswagen
C_CND_023920,Subaru,Forester,Overhead Camshaft,Manual,Pale White,Hardtop,Diehl Motor CO Inc
C_CND_023921,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,Hardtop,Motor Vehicle Branch Office
C_CND_023922,Lincoln,Navigator,Double Overhead Camshaft,Auto,Black,Sedan,Pars Auto Sales
C_CND_023923,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,Capitol KIA
C_CND_023924,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,Passenger,Ryder Truck Rental and Leasing
C_CND_023925,Ford,Crown Victoria,Double Overhead Camshaft,Auto,Red,Passenger,Capitol KIA
C_CND_023926,Plymouth,Neon,Double Overhead Camshaft,Auto,Pale White,SUV,Nebo Chevrolet
C_CND_023927,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,Hatchback,Suburban Ford
C_CND_023928,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,Star Enterprises Inc
C_CND_023929,Ford,Explorer,Double Overhead Camshaft,Auto,Black,Hatchback,Race Car Help
C_CND_023930,Chevrolet,Metro,Double Overhead Camshaft,Auto,Pale White,Passenger,Saab-Belle Dodge
C_CND_023931,Audi,A6,Overhead Camshaft,Manual,Black,SUV,Diehl Motor CO Inc
C_CND_023932,Mitsubishi,Montero,Overhead Camshaft,Manual,Black,SUV,Tri-State Mack Inc
C_CND_023933,Volkswagen,GTI,Double Overhead Camshaft,Auto,Pale White,SUV,Scrivener Performance Engineering
C_CND_023934,BMW,328i,Double Overhead Camshaft,Auto,Black,Sedan,Pars Auto Sales
C_CND_023935,BMW,528i,Overhead Camshaft,Manual,Black,SUV,New Castle Ford Lincoln Mercury
C_CND_023936,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,SUV,Scrivener Performance Engineering
C_CND_023937,Jeep,Wrangler,Overhead Camshaft,Manual,Pale White,Hatchback,Capitol KIA
C_CND_023938,Chevrolet,Corvette,Double Overhead Camshaft,Auto,Pale White,SUV,Chrysler of Tri-Cities
C_CND_023939,Pontiac,Sunfire,Overhead Camshaft,Manual,Red,Sedan,Chrysler of Tri-Cities
C_CND_023940,Subaru,Forester,Double Overhead Camshaft,Auto,Black,SUV,Chrysler of Tri-Cities
C_CND_023941,Mercedes-B,CL500,Overhead Camshaft,Manual,Black,SUV,Iceberg Rentals
C_CND_023942,Toyota,RAV4,Double Overhead Camshaft,Auto,Pale White,Hatchback,Capitol KIA
C_CND_023943,Chevrolet,Prizm,Double Overhead Camshaft,Auto,Black,Hardtop,Pars Auto Sales
