Car_id,Company,Model
C_CND_000001,Ford,Expedition
C_CND_000002,Dodge,Durango
C_CND_000003,Cadillac,Eldorado
C_CND_000004,Toyota,Celica
C_CND_000005,Acura,TL
C_CND_000006,Mitsubishi,Diamante
C_CND_000007,Toyota,Corolla
C_CND_000008,Mitsubishi,Galant
C_CND_000009,Chevrolet,Malibu
C_CND_000010,Ford,Escort
C_CND_000011,Acura,RL
C_CND_000012,Nissan,Pathfinder
C_CND_000013,Mercury,Grand Marquis
C_CND_000014,BMW,323i
C_CND_000015,Chrysler,Sebring Coupe
C_CND_000016,Subaru,Forester
C_CND_000017,Hyundai,Accent
C_CND_000018,Cadillac,Eldorado
C_CND_000019,Toyota,Land Cruiser
C_CND_000020,Honda,Accord
C_CND_000021,Toyota,4Runner
C_CND_000022,Infiniti,I30
C_CND_000023,Audi,A4
C_CND_000024,Porsche,Carrera Cabrio
C_CND_000025,Volkswagen,Jetta
C_CND_000026,Dodge,Viper
C_CND_000027,Buick,Regal
C_CND_000028,Chrysler,LHS
C_CND_000029,Chrysler,LHS
C_CND_000030,Saturn,LW
C_CND_000031,Mitsubishi,3000GT
C_CND_000032,Mercedes-B,SLK230
C_CND_000033,Honda,Accord
C_CND_000034,Honda,Civic
C_CND_000035,Jaguar,S-Type
C_CND_000036,Volvo,S40
C_CND_000037,Mercury,Mountaineer
C_CND_000038,Buick,Park Avenue
C_CND_000039,Mitsubishi,Montero Sport
C_CND_000040,Nissan,Sentra
C_CND_000041,Chrysler,Sebring Coupe
C_CND_000042,Volvo,S80
C_CND_000043,Chevrolet,Lumina
C_CND_000044,Mitsubishi,Montero Sport
C_CND_000045,Pontiac,Bonneville
C_CND_000046,Mercedes-B,C-Class
C_CND_000047,BMW,323i
C_CND_000048,Acura,TL
C_CND_000049,Nissan,Altima
C_CND_000050,Cadillac,DeVille
C_CND_000051,Dodge,Stratus
C_CND_000052,Audi,A4
C_CND_000053,Mercury,Cougar
C_CND_000054,Chevrolet,Malibu
C_CND_000055,Acura,RL
C_CND_000056,Saturn,SW
C_CND_000057,Volvo,C70
C_CND_000058,Mercury,Mountaineer
C_CND_000059,Mercedes-B,C-Class
C_CND_000060,Mercedes-B,SLK
C_CND_000061,Toyota,Tacoma
C_CND_000062,Mercedes-B,C-Class
C_CND_000063,Mercedes-B,M-Class
C_CND_000064,Audi,A6
C_CND_000065,Dodge,Intrepid
C_CND_000066,Buick,Park Avenue
C_CND_000067,Dodge,Viper
C_CND_000068,Toyota,Sienna
C_CND_000069,Volvo,S40
C_CND_000070,Mitsubishi,Diamante
C_CND_000071,Cadillac,DeVille
C_CND_000072,Jaguar,S-Type
C_CND_000073,Mitsubishi,Eclipse
C_CND_000074,Ford,Contour
C_CND_000075,Volkswagen,Jetta
C_CND_000076,Mitsubishi,Montero Sport
C_CND_000077,Lincoln,Town car
C_CND_000078,Ford,Focus
C_CND_000079,Audi,A6
C_CND_000080,Acura,TL
C_CND_000081,Nissan,Pathfinder
C_CND_000082,Ford,Mustang
C_CND_000083,Oldsmobile,Cutlass
C_CND_000084,Chevrolet,Corvette
C_CND_000085,Chevrolet,Impala
C_CND_000086,Volkswagen,Cabrio
C_CND_000087,Dodge,Dakota
C_CND_000088,Chrysler,300M
C_CND_000089,BMW,328i
C_CND_000090,Oldsmobile,Bravada
C_CND_000091,Nissan,Maxima
C_CND_000092,Dodge,Ram Pickup
C_CND_000093,Chrysler,Concorde
C_CND_000094,Chrysler,300M
C_CND_000095,Volvo,V70
C_CND_000096,Nissan,Quest
C_CND_000097,Chrysler,LHS
C_CND_000098,Honda,Accord
C_CND_000099,Nissan,Maxima
C_CND_000100,Dodge,Durango
C_CND_000101,Lexus,ES300
C_CND_000102,BMW,328i
C_CND_000103,Toyota,Land Cruiser
C_CND_000104,Mercedes-B,SL-Class
C_CND_000105,Ford,Explorer
C_CND_000106,Nissan,Pathfinder
C_CND_000107,Volvo,C70
C_CND_000108,Chevrolet,Prizm
C_CND_000109,Mercury,Grand Marquis
C_CND_000110,Chevrolet,Camaro
C_CND_000111,Subaru,Outback
C_CND_000112,Buick,Park Avenue
C_CND_000113,Ford,Taurus
C_CND_000114,Chevrolet,Cavalier
C_CND_000115,Audi,A4
C_CND_000116,Ford,Focus
C_CND_000117,Mitsubishi,Diamante
C_CND_000118,Lexus,GS400
C_CND_000119,Mercedes-B,M-Class
C_CND_000120,Chrysler,Concorde
C_CND_000121,Chrysler,Sebring Coupe
C_CND_000122,Chevrolet,Monte Carlo
C_CND_000123,Cadillac,Eldorado
C_CND_000124,Saturn,LW
C_CND_000125,Hyundai,Sonata
C_CND_000126,Mercury,Sable
C_CND_000127,Mercedes-B,SL-Class
C_CND_000128,Volvo,C70
C_CND_000129,Chevrolet,Metro
C_CND_000130,Jaguar,S-Type
C_CND_000131,Acura,TL
C_CND_000132,BMW,323i
C_CND_000133,Plymouth,Voyager
C_CND_000134,Nissan,Maxima
C_CND_000135,Chrysler,Cirrus
C_CND_000136,Mercury,Grand Marquis
C_CND_000137,Lexus,ES300
C_CND_000138,Dodge,Intrepid
C_CND_000139,Nissan,Maxima
C_CND_000140,Dodge,Avenger
C_CND_000141,Chevrolet,Corvette
C_CND_000142,Acura,RL
C_CND_000143,Honda,Odyssey
C_CND_000144,Oldsmobile,Intrigue
C_CND_000145,Acura,RL
C_CND_000146,Ford,Taurus
